Ticker,Date,YearMonth,Gross_Profitability,ROIC,FCF_Yield,Revenue_Growth_YoY,Momentum_6M,Accrual_Ratio,Interest_Coverage,Shares_Outstanding_YoY_Growth,Forward_1yr_Return,y_target,Sector_Basic Materials,Sector_Business Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Other,Sector_Real Estate,Sector_Technology,Sector_Utilities
HURC,2022-03-04,2022-03,0.18419833109596945,0.060462688436964965,0.14122373797768853,0.23601589208167795,-0.01380728554641597,-0.0648397020967438,245.40677966101694,0.004866920152091225,-0.17783735478105445,5.0,0,0,0,0,0,0,0,0,0,0,1,0
HCKT,2022-03-04,2022-03,0.10246650059506314,0.3230798106400284,0.06919287175551983,0.18473035205209087,0.038980509745127234,-0.00754549703432093,489.22105263157897,-0.0008668111351891605,-0.07792207792207784,6.0,0,0,0,0,0,0,0,0,0,0,1,0
TUSK,2022-03-04,2022-03,0.0424959633343136,-0.22927645336679214,-0.1616625464380445,-0.32707818930041155,-0.512396694214876,-0.12217086609367284,,0.01992528019925288,2.175141242937853,9.0,0,0,0,0,1,0,0,0,0,0,0,0
ATRO,2022-03-04,2022-03,0.10730409201199072,-0.08028522130389605,-0.0031304265945015686,0.010879506633101999,-0.05355832721936904,-0.039938404762139286,-4.951205173427396,0.003696498054474695,0.09457364341085261,7.0,0,0,0,0,0,0,0,1,0,0,0,0
COO,2022-03-04,2022-03,0.1735048231511254,0.04939811087327926,0.02585925477347577,0.15679647318148415,-0.05728750333066879,0.03409217569131833,21.59227467811159,0.004156619144602747,-0.18503862822687023,5.0,0,0,0,0,0,0,1,0,0,0,0,0
NRC,2022-03-04,2022-03,0.6068617493969786,0.44931357477387296,0.04325753820873299,0.10134008167021347,-0.3155760368663594,-0.021353307096610385,30.41197822141561,0.0031569393473027674,0.2143819014274171,8.0,0,0,0,0,0,0,0,0,0,0,1,0
AVAV,2022-03-04,2022-03,0.16820415724491114,-0.00648079151394568,-0.019384020707185933,0.1435734050925339,-0.28291316526610655,0.038619716038322566,-0.9886516637814965,0.02918758563645607,0.1795528017241379,8.0,0,0,0,0,0,0,0,1,0,0,0,0
NX,2022-03-04,2022-03,0.33700882117080994,0.1676427117320617,0.04426643298131941,0.1603018940068739,-0.03015075376884413,0.03643048872850396,36.559947871416156,0.014815040155755632,0.10319516407599316,7.0,1,0,0,0,0,0,0,0,0,0,0,0
UEIC,2022-03-04,2022-03,0.3390157304427567,0.06716346778735757,0.06497062763240179,-0.07244150924077197,-0.3659903381642512,-0.043883781262981335,41.08303886925795,-0.05635848645508024,-0.6574215178299299,1.0,0,0,0,0,0,0,0,0,0,0,1,0
TMCI,2022-03-04,2022-03,0.5505641914203138,-0.13484375765693657,-0.02355550586311651,0.3872225679319643,-0.24954195676071822,-0.004644193692702083,-4.089670547436215,,-0.01220703125,6.0,0,0,0,0,0,0,1,0,0,0,0,0
