Ticker,Date,Gross_Profitability,ROIC,FCF_Yield,y_target,Sector_Basic Materials,Sector_Business Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Other,Sector_Real Estate,Sector_Technology,Sector_Utilities
OPTT,2021-09-13,-0.0130433176090946,-0.1957050086799974,-0.1372622581993253,2.0,0,0,0,0,1,0,0,0,0,0,0,0
CSBR,2021-09-13,0.7556567525259713,0.0219780219780219,-0.0311762420303985,7.0,0,0,0,0,0,0,1,0,0,0,0,0
ORCL,2021-09-13,0.2665142689792066,0.1944403588763053,0.051044865731161,9.0,0,0,0,0,0,0,0,0,0,0,1,0
JVA,2021-09-13,0.3279630637478576,-0.0134462202191112,0.1599992377235818,4.0,0,0,0,1,0,0,0,0,0,0,0,0
TUEM,2021-09-13,0.4929645547568225,-0.3462945314272748,-1.0982718482586011,0.0,0,0,0,1,0,0,0,0,0,0,0,0
FEIM,2021-09-14,0.1951735132387597,-0.042652276759314,0.10962808719729,6.0,0,0,0,0,0,0,0,0,0,0,1,0
DTEA,2021-09-14,0.6378082655348909,0.1918921721099015,-0.2421214874389117,3.0,0,0,0,1,0,0,0,0,0,0,0,0
KSPN,2021-09-14,0.7149904629488822,-0.1102376608434865,-0.2335717223981642,1.0,0,0,1,0,0,0,0,0,0,0,0,0
SEAC,2021-09-14,0.2171957443127757,-0.3111802187765043,-0.1523016715587533,4.0,0,0,0,0,0,0,0,0,0,0,1,0
VOLT,2021-09-14,0.5659023464738029,0.0913448015931055,0.0708179700776887,9.0,0,0,0,0,0,0,0,1,0,0,0,0
ASPU,2021-09-14,0.5087114962527627,-0.103340707200925,-0.0787288732576462,0.0,0,0,0,1,0,0,0,0,0,0,0,0
PZG,2021-09-17,-0.0100069022313758,-0.1095252667262903,-2.267319108303727,0.0,1,0,0,0,0,0,0,0,0,0,0,0
KR,2021-09-17,0.6193021192298962,0.0972963738094221,0.0606393191632035,9.0,0,0,0,1,0,0,0,0,0,0,0,0
NAII,2021-09-20,0.2530906793259118,0.1690661405721278,0.1769899496290218,4.0,0,0,0,1,0,0,0,0,0,0,0,0
RLGT,2021-09-20,0.5911627435064936,0.1607969855170091,0.0095836385933559,9.0,0,0,0,0,0,0,0,1,0,0,0,0
ASTC,2021-09-21,0.0005485045632532,-0.1161096896730343,-0.5410413550452625,0.0,0,0,0,0,0,0,0,1,0,0,0,0
RAVE,2021-09-21,0.6241288872236793,0.1399656039158618,0.0601161142747216,9.0,0,0,1,0,0,0,0,0,0,0,0,0
CPB,2021-09-23,0.2395602522583944,0.1906965416463711,0.0593247593444301,9.0,0,0,0,1,0,0,0,0,0,0,0,0
DYNT,2021-09-23,0.3292192551378711,-0.1464193346959323,0.0860537346942055,0.0,0,0,0,0,0,0,1,0,0,0,0,0
ESP,2021-09-24,0.1231498975943189,0.0277507850955557,0.0011954606041452,9.0,0,0,0,0,0,0,0,0,0,0,1,0
GWRE,2021-09-24,0.1677803643223384,-0.0559024396958997,0.0092132600797952,0.0,0,0,0,0,0,0,0,0,0,0,1,0
CBRL,2021-09-24,0.4068509600308401,0.1502880899284568,0.1107926674857403,4.0,0,0,1,0,0,0,0,0,0,0,0,0
DCI,2021-09-24,0.4048412632280643,0.2336329406048828,0.0453933780097883,7.0,0,0,0,0,0,0,0,1,0,0,0,0
SCS,2021-09-24,0.3180030257186081,0.0134360554699537,-0.0538186238098453,2.0,0,0,0,0,0,0,0,1,0,0,0,0
DTSS,2021-09-28,0.0241335497752699,-1.9825593628816895,-0.0850283185654711,4.0,0,0,0,0,0,0,0,0,0,0,1,0
AHPI,2021-09-28,0.4016167264266892,-0.0416062829497654,-0.1380775916957175,0.0,0,0,0,0,0,0,1,0,0,0,0,0
SANW,2021-09-28,0.0902938527312321,-0.2312130565338615,-0.116510466757966,1.0,0,0,0,1,0,0,0,0,0,0,0,0
THO,2021-09-28,0.2847832790909889,0.1981799837504786,0.0593486462547772,3.0,0,0,1,0,0,0,0,0,0,0,0,0
UNFI,2021-09-28,0.5234551495016612,0.0699507605699394,0.1474641893721978,6.0,0,0,0,1,0,0,0,0,0,0,0,0
MKC,2021-09-30,0.1903387041693831,0.1084945586457073,0.0239022436540904,6.0,0,0,0,1,0,0,0,0,0,0,0,0
NEOG,2021-09-30,0.2411335191491096,0.0900424731955906,0.0118685839337297,3.0,0,0,0,0,0,0,1,0,0,0,0,0
CCL,2021-09-30,-0.045461961861709116,-0.1340246442207567,-0.3464810015975957,0.0,0,0,1,0,0,0,0,0,0,0,0,0
ANGO,2021-09-30,0.2899851195563576,-0.0346393318147304,0.0161531118337956,4.0,0,0,0,0,0,0,1,0,0,0,0,0
BBBY,2021-09-30,0.497207509555382,0.0242905977892178,-0.0087649124084893,1.0,0,0,1,0,0,0,0,0,0,0,0,0
TAYD,2021-09-30,0.0765472847823677,-0.0591770655016438,0.1197058095008703,8.0,0,0,0,0,0,0,0,1,0,0,0,0
APOG,2021-09-30,0.2611124140127584,0.1184925385464622,0.1219631925623289,9.0,1,0,0,0,0,0,0,0,0,0,0,0
KMX,2021-10-01,0.1232058368184085,0.0338448790762668,-0.0875408627892085,0.0,0,0,1,0,0,0,0,0,0,0,0,0
PAYX,2021-10-01,0.3128863172952718,0.4208939708939709,0.031283827054843,6.0,0,0,0,0,0,0,0,1,0,0,0,0
TRT,2021-10-01,0.2002297290241737,-0.0020320540133066,0.0300052937096126,9.0,0,0,0,0,0,0,0,0,0,0,1,0
LFVN,2021-10-01,1.1252454360789488,0.3400573752632725,0.6471962067665821,3.0,0,0,0,0,0,0,1,0,0,0,0,0
NKE,2021-10-05,0.5516522931666534,0.3068607243511547,0.0262993821623068,2.0,0,0,1,0,0,0,0,0,0,0,0,0
RAD,2021-10-05,0.520789248568124,0.0053392493585405,0.4929695913230998,0.0,0,0,0,1,0,0,0,0,0,0,0,0
DRI,2021-10-05,0.1611409924395496,0.2388116342739421,0.0441089534344661,7.0,0,0,1,0,0,0,0,0,0,0,0,0
PEP,2021-10-05,0.4429836789842795,0.2003249078554334,0.0635373306122159,9.0,0,0,0,1,0,0,0,0,0,0,0,0
SNX,2021-10-05,0.1249666293295857,0.1018784387652283,0.066734291795007,4.0,0,0,0,0,0,0,0,1,0,0,0,0
MLKN,2021-10-06,0.2194148638045062,0.0308099818764812,0.0396350935342746,0.0,0,0,1,0,0,0,0,0,0,0,0,0
RPM,2021-10-06,0.3835187742734428,0.1605713606278742,0.0340793825558874,9.0,1,0,0,0,0,0,0,0,0,0,0,0
COST,2021-10-06,0.425946547884187,0.262348938167312,0.0269716947682881,4.0,0,0,0,1,0,0,0,0,0,0,0,0
STZ,2021-10-06,0.1819591717540834,0.1275946800856182,0.0476015002475021,7.0,0,0,0,1,0,0,0,0,0,0,0,0
LEVI,2021-10-06,0.5239571794753665,0.1974368837363979,0.0593945335830098,2.0,0,0,1,0,0,0,0,0,0,0,0,0
LW,2021-10-07,0.1842540047410387,0.1264407853071564,0.0304100174175022,7.0,0,0,0,1,0,0,0,0,0,0,0,0
CAG,2021-10-07,0.1349784160533099,0.0910594546267322,0.0493779257668548,3.0,0,0,0,1,0,0,0,0,0,0,0,0
RGP,2021-10-07,0.4953802209332828,0.0983455710254249,0.0271932117253452,1.0,0,0,0,0,0,0,0,1,0,0,0,0
ACCD,2021-10-07,0.0786403148857216,-0.1120586299482833,-0.0167611540928828,0.0,0,0,0,0,0,0,0,0,0,0,1,0
RELL,2021-10-07,0.3917643533950039,0.0517207649293271,-0.0221841686410146,9.0,0,0,0,0,0,0,0,0,0,0,1,0
CTAS,2021-10-07,0.4315746874105183,0.2412256106695602,0.027759162926869,5.0,0,0,0,0,0,0,0,1,0,0,0,0
HELE,2021-10-08,0.395324904746132,0.1529676599574377,-0.0063573253523531,0.0,0,0,0,1,0,0,0,0,0,0,0,0
MU,2021-10-08,0.1771143095039847,0.1239030546845727,0.0310437209681362,4.0,0,0,0,0,0,0,0,0,0,0,1,0
KBH,2021-10-08,0.1928479989131996,0.1223479259452172,-0.0667303854300813,2.0,0,0,1,0,0,0,0,0,0,0,0,0
PKE,2021-10-08,0.1031533083891295,0.0779416694602748,0.0134641072067095,9.0,0,0,0,0,0,0,0,0,0,0,1,0
AZZ,2021-10-12,0.1260391033171168,0.0981803607605037,0.0656855678782906,7.0,0,0,0,0,0,0,0,1,0,0,0,0
ENZ,2021-10-12,0.4712510225083779,0.0094869896630199,-0.0219246092340454,2.0,0,0,0,0,0,0,1,0,0,0,0,0
WOR,2021-10-12,0.2100184482863106,0.1401597801693259,0.0395474523004305,9.0,1,0,0,0,0,0,0,0,0,0,0,0
VOXX,2021-10-12,0.3260467968782137,0.0553376623048368,0.1029490707377815,4.0,0,0,1,0,0,0,0,0,0,0,0,0
LBUY,2021-10-13,0.2124282758683492,0.5309365238297679,-0.1271979419024715,2.0,0,0,1,0,0,0,0,0,0,0,0,0
DAL,2021-10-13,-0.0097138067955429,-0.1282775860663532,-0.0099096613841922,4.0,0,0,0,0,0,0,0,1,0,0,0,0
WINA,2021-10-13,1.1252454360789488,1.001609775984045,0.0607531120398695,9.0,0,0,1,0,0,0,0,0,0,0,0,0
DFCO,2021-10-13,0.0711695783955493,1.001609775984045,-0.2725748113699158,0.0,0,0,0,0,0,0,0,0,1,0,0,0
TSRI,2021-10-13,0.5653212250655629,-0.0692715633961464,-0.0020505397793908,7.0,0,0,0,0,0,0,0,0,0,0,1,0
AEHR,2021-10-14,0.3369026290571226,-0.2099494097807757,-0.0034418221590552,7.0,0,0,0,0,0,0,0,0,0,0,1,0
CMC,2021-10-14,0.2383995329696803,0.178552344950355,0.018979151614191,9.0,1,0,0,0,0,0,0,0,0,0,0,0
WBA,2021-10-14,0.345299313534926,0.0423715014564072,0.105430031538361,2.0,0,0,0,1,0,0,0,0,0,0,0,0
DPZ,2021-10-14,0.9733324793862465,0.851095178750751,0.035388751860779,4.0,0,0,1,0,0,0,0,0,0,0,0,0
IRDM,2021-10-19,0.1429185461012928,0.0139387270801343,0.0451845915085857,9.0,0,0,0,0,0,0,0,0,0,0,1,0
PG,2021-10-19,0.3242861559802455,0.2245329618136913,0.0481899894177033,4.0,0,0,0,1,0,0,0,0,0,0,0,0
DOV,2021-10-19,0.2928156091957342,0.1790326009687569,0.0441480269475096,0.0,0,0,0,0,0,0,0,1,0,0,0,0
HCCI,2021-10-20,0.2858484174996137,0.1876464825585,0.0959043313282309,8.0,0,0,0,0,0,0,0,1,0,0,0,0
GGG,2021-10-20,0.4224137350840944,0.294024045261669,0.0298023095989515,3.0,0,0,0,0,0,0,0,1,0,0,0,0
WGO,2021-10-20,0.3153352109289056,0.2569533182550385,0.0872206488948103,3.0,0,0,1,0,0,0,0,0,0,0,0,0
MSM,2021-10-20,0.5416136126866535,0.1740558266993374,0.0365159233412363,7.0,0,0,0,0,0,0,0,1,0,0,0,0
UAL,2021-10-20,0.0196842439460847,-0.139481000926784,-0.0993679245314731,5.0,0,0,0,0,0,0,0,1,0,0,0,0
BIIB,2021-10-20,0.3847782346986352,0.183002071305804,0.0538649652390883,9.0,0,0,0,0,0,0,1,0,0,0,0,0
USAP,2021-10-20,-0.0026545860154414,-0.073592065329172,-0.0095303221515914,2.0,1,0,0,0,0,0,0,0,0,0,0,0
LRN,2021-10-20,0.3383996714139706,0.0808857035414869,0.0770498046378735,9.0,0,0,0,1,0,0,0,0,0,0,0,0
SLM,2021-10-20,0.048416042171864,0.1819189806574107,-0.0128158226885505,6.0,0,0,0,0,0,1,0,0,0,0,0,0
OMC,2021-10-20,0.1064235676757568,0.2297261024082802,0.1587524834182639,6.0,0,0,1,0,0,0,0,0,0,0,0,0
SMIT,2021-10-20,0.1870808972944365,-1.5895601922389777,-0.606595268500936,0.0,0,0,0,0,0,0,0,0,0,0,1,0
IHT,2021-10-20,0.1472458636636551,-0.1883062320311413,0.019856639215504,0.0,0,0,0,0,0,0,0,0,0,1,0,0
ISRG,2021-10-20,0.2932831320643854,0.155888127754265,0.015545117544744,1.0,0,0,0,0,0,0,1,0,0,0,0,0
NVEC,2021-10-20,0.2958937680404243,0.2350505047948374,0.043571516139098,4.0,0,0,0,0,0,0,0,0,0,0,1,0
SCHN,2021-10-21,0.3032690183041202,0.234754004451577,0.0482509190923142,4.0,0,0,0,0,0,0,0,1,0,0,0,0
LNN,2021-10-21,0.2357321656975603,0.1191344324667089,0.0110164271797503,8.0,0,0,0,0,0,0,0,1,0,0,0,0
AAL,2021-10-21,-0.0085333956777766,-0.0896662387676508,-0.0669183523301324,5.0,0,0,0,0,0,0,0,1,0,0,0,0
HRI,2021-10-21,0.1709577505686492,0.1237394184762605,0.0554615280642677,3.0,0,0,0,0,0,0,0,1,0,0,0,0
CROX,2021-10-21,0.7319383518665494,0.5860475593625636,0.044463058790643,2.0,0,0,1,0,0,0,0,0,0,0,0,0
