Ticker,Date,Gross_Profitability,ROIC,FCF_Yield,y_target,Sector_Basic Materials,Sector_Business Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Other,Sector_Real Estate,Sector_Technology,Sector_Utilities
AXTI,2021-08-12,0.13496593450634123,0.04325122968449008,-0.08224641871619476,7.0,0,0,0,0,0,0,0,0,0,0,1,0
GTBIF,2021-08-12,0.23499697901314698,0.13098949457716233,0.0019758541627416257,2.0,0,0,0,0,0,0,1,0,0,0,0,0
BEEM,2021-08-12,-0.03448296650889917,-0.2158393222727559,-0.020965635099918497,4.0,0,0,0,0,0,0,0,0,0,0,1,0
LEAT,2021-08-12,0.8990825886560658,0.5133088029694975,0.007833517126003298,8.0,0,0,1,0,0,0,0,0,0,0,0,0
ELSE,2021-08-12,0.2995434441432444,0.014227485964777358,0.03241375966831319,9.0,0,0,0,0,0,0,0,0,0,0,1,0
CELH,2021-08-12,0.3468749840223351,0.037075084179265014,-0.00454459087206439,9.0,0,0,0,1,0,0,0,0,0,0,0,0
HSDT,2021-08-12,0.016049267518895214,-1.9515955539619936,-0.3301118222298584,0.0,0,0,0,0,0,0,1,0,0,0,0,0
IRIX,2021-08-12,0.40148456057007126,-0.19066220238095238,0.10324372374605646,4.0,0,0,0,0,0,0,1,0,0,0,0,0
BSQR,2021-08-12,0.3668355105305252,-0.2421671647546515,-0.08888984136508889,3.0,0,0,0,0,0,0,0,0,0,0,1,0
BW,2021-08-12,0.27116095859518297,0.21672401128851432,-0.13243542924784313,8.0,0,0,0,0,0,0,0,1,0,0,0,0
PRPO,2021-08-12,0.06180679785330948,-0.32315466522288394,-0.10967051895945189,3.0,0,0,0,0,0,0,1,0,0,0,0,0
VIVE,2021-08-12,0.030416127894674974,-0.5908123877768447,-0.4948837502598159,2.0,0,0,0,0,0,0,1,0,0,0,0,0
EFOI,2021-08-12,0.2802566781077451,-0.9004033940742802,-0.631705907349887,1.0,0,0,1,0,0,0,0,0,0,0,0,0
CLPT,2021-08-12,0.1403091557669441,-0.1393615396364747,-0.024228460782944668,7.0,0,0,0,0,0,0,1,0,0,0,0,0
EBAY,2021-08-12,0.24315746472676994,0.14619142391894338,0.05407924644845156,6.0,0,0,1,0,0,0,0,0,0,0,0,0
CODX,2021-08-12,0.8668618519079446,0.5751771684859923,0.18786559871666866,3.0,0,0,0,0,0,0,1,0,0,0,0,0
TELA,2021-08-12,0.21416279353378773,-0.4264105279080321,-0.12439168902644777,5.0,0,0,0,0,0,0,1,0,0,0,0,0
MCHX,2021-08-12,0.4488722982888569,-0.36226942425936276,0.2599313766634155,6.0,0,0,1,0,0,0,0,0,0,0,0,0
FOSL,2021-08-12,0.6683135965928888,0.1364129296740002,0.11604504733345869,3.0,0,0,1,0,0,0,0,0,0,0,0,0
VERX,2021-08-12,0.3918287727081074,-0.205216979726354,0.014380880653486935,6.0,0,0,0,0,0,0,0,0,0,0,1,0
MDVL,2021-08-12,0.08538775510204082,-0.5645475638051044,-0.31962146627238774,2.0,0,0,0,1,0,0,0,0,0,0,0,0
ALJJ,2021-08-12,0.3227184709203187,0.012270890164128858,0.344435214588101,9.0,0,0,0,0,0,0,0,1,0,0,0,0
ACOR,2021-08-12,0.21485133205018128,-0.22459813455050606,1.0225498834822047,0.0,0,0,0,0,0,0,1,0,0,0,0,0
GHM,2021-08-12,0.10689662613424253,0.010520874751491053,-0.05148717907671867,6.0,0,0,0,0,0,0,0,1,0,0,0,0
GDRX,2021-08-12,0.3735523139346499,-0.246071308668502,0.007351769238139469,1.0,0,0,0,0,0,0,1,0,0,0,0,0
INTT,2021-08-12,0.4760847114745286,0.13761933581929287,0.04878182687993418,7.0,0,0,0,0,0,0,0,0,0,0,1,0
AMTX,2021-08-12,-0.017887177482953792,-0.22510427010923537,-0.13297079445038298,8.0,0,0,0,0,1,0,0,0,0,0,0,0
APYX,2021-08-12,0.37099300257194995,-0.2637217849589127,-0.02960527547212744,6.0,0,0,0,0,0,0,1,0,0,0,0,0
SSTI,2021-08-12,0.503409775231523,0.011359782977280434,0.011820272161799131,7.0,0,0,0,0,0,0,0,0,0,0,1,0
INFU,2021-08-12,0.6223527818577664,0.07590720580611716,0.057344482294983436,4.0,0,0,0,0,0,0,1,0,0,0,0,0
PFE,2021-08-12,0.23097928436911488,0.1217653233535667,0.08015143666796873,8.0,0,0,0,0,0,0,1,0,0,0,0,0
CPSS,2021-08-12,0.08786684666356108,0.06756441200181873,1.6829986671725574,9.0,0,0,0,0,0,1,0,0,0,0,0,0
LCTX,2021-08-12,0.010211199667542336,-0.21625928142743905,-0.05521800115774597,5.0,0,0,0,0,0,0,1,0,0,0,0,0
SONO,2021-08-12,0.7421819798579096,0.3098733323454721,0.06149516095615918,3.0,0,0,1,0,0,0,0,0,0,0,0,0
VRML,2021-08-12,0.03514302602590052,-0.4856868894704249,-0.05120093141114057,1.0,0,0,0,0,0,0,0,0,0,0,0,0
LKCRU,2021-08-12,0.2098794668097759,0.18225606204358547,0.30143931706376,8.0,0,0,0,0,0,0,0,0,0,1,0,0
SOFO,2021-08-12,1.338731926633628,0.30804423113362256,-0.008290319856846279,2.0,0,0,0,0,0,0,0,0,0,0,1,0
TGEN,2021-08-12,0.3487696796748785,-0.07084164104722186,-0.03295373230490191,6.0,0,0,0,0,0,0,0,1,0,0,0,0
DCO,2021-08-12,0.16662827064730865,0.07278197246528167,-0.024556086719160597,7.0,0,0,0,0,0,0,0,1,0,0,0,0
PRSO,2021-08-12,0.2357755567797277,-0.6027437862556633,-0.13760690012729157,3.0,0,0,0,0,0,0,0,0,0,0,1,0
YETI,2021-08-12,0.8716930466738042,0.5113261337754296,0.03081094565232279,3.0,0,0,1,0,0,0,0,0,0,0,0,0
UTZ,2021-08-12,0.035357497618800846,-0.010309982867876771,-0.09861586647269759,7.0,0,0,0,1,0,0,0,0,0,0,0,0
PMD,2021-08-12,0.3015414650018302,-0.12979176526265973,-0.01196013497896892,7.0,0,0,0,0,0,0,1,0,0,0,0,0
PMTS,2021-08-12,0.5410479610899955,0.3425702996302141,0.10715510149359495,8.0,0,0,0,0,0,1,0,0,0,0,0,0
TBTC,2021-08-12,0.5910516512350451,0.09397824221549335,0.11661857784199976,8.0,0,0,1,0,0,0,0,0,0,0,0,0
HGBL,2021-08-12,0.4151556220207496,0.07891424329471,0.07818502668396843,7.0,0,0,0,0,0,1,0,0,0,0,0,0
HTGM,2021-08-12,0.11017730464432493,-0.6147718736064256,-0.4255919647044812,1.0,0,0,0,0,0,0,1,0,0,0,0,0
TAST,2021-08-12,0.14526873650517602,0.014620275952406933,0.1441275337259744,4.0,0,0,1,0,0,0,0,0,0,0,0,0
JRSH,2021-08-12,0.2598346642977686,0.11256015039462629,-0.07324452247241753,5.0,0,0,0,0,0,0,0,1,0,0,0,0
OSS,2021-08-12,0.3571159651964617,0.05025649857023161,0.043903029589988145,6.0,0,0,0,0,0,0,0,0,0,0,1,0
OPGN,2021-08-13,0.0064642171099032865,-0.4044599570313703,-0.2883061733020707,0.0,0,0,0,0,0,0,1,0,0,0,0,0
PSTL,2021-08-13,0.08903089476431127,0.014974446109386707,-0.48017764556624715,6.0,0,0,0,0,0,0,0,0,0,1,0,0
NOTV,2021-08-13,0.1371393006676474,-0.025555206668189084,-0.0040016311856929205,6.0,0,0,0,0,0,0,1,0,0,0,0,0
SUNW,2021-08-13,0.17151545777761734,-0.21942218609272376,-0.04743567829642587,3.0,0,0,0,0,0,0,0,0,0,0,1,0
HHS,2021-08-13,0.2612469986015462,-0.3900486420753952,-0.2008695974765801,9.0,0,0,1,0,0,0,0,0,0,0,0,0
FCUV,2021-08-13,0.050535819738969555,-0.5918159563506108,-0.004712412870216529,9.0,0,0,0,0,0,0,0,0,0,0,1,0
PPSI,2021-08-13,0.07500679409366791,-0.2552598023589417,-0.07092886014724499,7.0,0,0,0,0,0,0,0,0,0,0,1,0
AGE,2021-08-13,0.11334120425029516,-11.103614457831325,-0.16925090463171633,3.0,0,0,0,0,0,0,1,0,0,0,0,0
FRGI,2021-08-13,0.38890663449853585,0.048016009874571164,0.08087790407680123,4.0,0,0,1,0,0,0,0,0,0,0,0,0
SRTS,2021-08-13,0.3349897579849784,-0.16766467065868262,-0.0486215693912148,9.0,0,0,0,0,0,0,1,0,0,0,0,0
LEU,2021-08-13,0.12584898122253296,-0.128428927680798,0.2458155374467153,9.0,0,0,0,0,0,1,0,0,0,0,0,0
GURE,2021-08-13,0.02462198371487215,-0.027032875148091447,-0.04203010401025967,7.0,1,0,0,0,0,0,0,0,0,0,0,0
AEVA,2021-08-13,0.004696240705356937,-0.1167511982779049,-0.026155775097945522,2.0,0,0,1,0,0,0,0,0,0,0,0,0
GMHI,2021-08-13,-0.01737875039725824,-0.2295650807456594,-0.017436815354176464,4.0,0,0,0,0,0,0,0,0,0,0,0,0
SDPI,2021-08-13,0.16241281452391346,-0.3555924579739013,-0.09999698048633972,8.0,0,0,0,0,1,0,0,0,0,0,0,0
GLXZ,2021-08-13,0.4523828558976393,-0.04403122978237912,0.0029264228718884526,5.0,0,0,1,0,0,0,0,0,0,0,0,0
ATLC,2021-08-13,0.28753157901779836,0.6791594371590347,0.36361546194873623,5.0,0,0,0,0,0,1,0,0,0,0,0,0
RBCN,2021-08-13,0.023739261590923995,-0.06551818617713542,0.007300803231923136,9.0,0,0,0,0,0,0,0,0,0,0,1,0
SCKT,2021-08-13,0.4595290373454117,0.10117064393924317,0.009198955372498147,2.0,0,0,0,0,0,0,0,0,0,0,1,0
MAPS,2021-08-13,0.5239482974185482,-0.5613327733445331,0.046545860211270725,0.0,0,0,0,0,0,0,0,0,0,0,1,0
CPHI,2021-08-13,97.86812609213858,-202.02519700791476,-226.44823489804804,1.0,0,0,0,0,0,0,1,0,0,0,0,0
SNOA,2021-08-16,0.4076198569506409,-0.5826485461441213,-0.258938386028687,3.0,0,0,0,0,0,0,1,0,0,0,0,0
GLG,2021-08-16,0.01955851863215405,-0.014574595137153503,1.8365121417376853,3.0,1,0,0,0,0,0,0,0,0,0,0,0
LIVX,2021-08-16,0.2297342642203821,-0.9793645690234706,-0.08225038374201049,2.0,0,0,1,0,0,0,0,0,0,0,0,0
EOSS,2021-08-16,0.5446537624631439,-0.7247979599715798,-1.0639089832547532,8.0,0,0,0,1,0,0,0,0,0,0,0,0
SSKN,2021-08-16,0.3618120670838994,-0.09846905343420503,-0.04847986971590577,5.0,0,0,0,0,0,0,1,0,0,0,0,0
IDEX,2021-08-16,0.03101627265239474,-0.08298275769287991,-0.04369497047525999,1.0,0,0,0,0,0,0,0,1,0,0,0,0
